Time,Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-rad,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/geod-alt-ft,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/terrain-elevation-asl-ft,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-mag-mt
22.4499102,2045.5996470414,2045.5996470414,36.44914535796561,-15.75981992714071,270.6165541242078,0.6990193923809621,0.1286467286090647,-0.3104459695431709,-0.6312251644919874,0.08186931817189458,0.9759459635357882,0.1843700333171926,-0.0826715296513145,-0.08193545450251059,-0.9757980984882407,-0.1851510300104063,0.08260598264221605,1.8183587728996,0.90921680444698,46.993365823138,47.184915159881,121.99339531072,-7582264.365190157,12094148.93518511,15303892.24812169,-7562896.610648629,12106269.70733392,15303892.24812169,0.091708360367765,2045.5996470414,0,2045.59964704141021,623.498772418221847,2045.59964704141021,0.823532126814111809,47.1849151598811005,39652.1024326316256,46.9933658231375091,121.99339531072026,0,501.426095692755496,738.513190164765547,892.670756556679066
22.49991,2043.2726627588,2043.2726627588,36.40841929575719,-15.81645644782945,271.01750176871,0.7013309653679145,0.1291419006530301,-0.3100873496366436,-0.6287313274421389,0.08123948581707996,0.9766750134095474,0.1815202114957224,-0.08097207508879287,-0.08130440976026657,-0.976529096517279,-0.18230357279861,0.08090688446321063,1.8123666370896,0.90602040151269,46.993365979856,47.184915337809,121.99336619875,-7582301.450580781,12094123.76217923,15303890.58550105,-7562889.596346362,12106272.16842013,15303890.58550105,0.091917263238762,2043.2726627588,0,2043.27266275882721,622.789507608890517,2043.27266275882721,0.823532129919547051,47.1849153378094357,39649.7756527235179,46.9933659798560086,121.993366198748078,0,503.636268180865216,738.49574434129147,893.899853578226498
22.5499098,2040.9320104793,2040.9320104793,36.36587409439838,-15.87000183079007,271.4189044685479,0.703634396658927,0.1296446704028601,-0.3097012453517665,-0.6262395978394585,0.08061509791002354,0.9773909268796056,0.1786830968708671,-0.07924981346993404,-0.08067878493352368,-0.9772469583160724,-0.1794688148841541,0.07918497715925825,1.8064495131215,0.90269055173052,46.993366277301,47.184915656519,121.99333700332,-7582338.493353017,12094098.56035848,15303888.94794537,-7562882.539554681,12106274.60073275,15303888.94794537,0.092126166109759,2040.9320104793,0,2040.93201047927141,622.076076794081928,2040.93201047927141,0.823532135482081484,47.1849156565191805,39647.4353767374487,46.9933662773011562,121.993337003317322,0,505.852776819325982,738.462632898722063,895.123377855054628
22.5999096,2038.5780462921,2038.5780462921,36.32154823819692,-15.92046992014029,271.8207615894173,0.7059297528127148,0.1301549111085279,-0.3092878686313018,-0.6237498677559914,0.07999613922611852,0.9780937548407554,0.1758584933032745,-0.07750493393023165,-0.08005856482532987,-0.9779517348679954,-0.1766465600968885,0.07744044984840008,1.8006089833855,0.89920881183794,46.993366716411,47.184916116945,121.99330772545,-7582375.493718519,12094073.3295813,15303887.33594875,-7562875.440485789,12106277.00413012,15303887.33594875,0.092335068980756,2038.5780462921,0,2038.57804629206657,621.358588509821971,2038.57804629206657,0.823532143518023174,47.18491611694472,39645.0819619053582,46.9933667164110673,121.993307725451359,0,508.075543915714888,738.413751407022232,896.341270867693652
22.6499094,2036.2111304887,2036.2111304887,36.27548334527237,-15.96787379238542,272.2230704448909,0.7082170835566408,0.13067251733039,-0.3088474442680477,-0.6212620316276863,0.07938256916973375,0.9787835434652751,0.1730462187180249,-0.0757376322640597,-0.07944370887447391,-0.9786434724239813,-0.1738366263276491,0.07567349832815538,1.7948461333274,0.89555938639179,46.993367298117,47.184916720014,121.9932783662,-7582412.451896525,12094048.06970685,15303885.75000673,-7562868.299359466,12106279.37847129,15303885.75000673,0.092543971851753,2036.2111304887,0,2036.21113048866391,620.637152572944842,2036.21113048866391,0.82353215404356539,47.1849167200138666,39642.7157696651411,46.9933672981173274,121.993278366197771,0,510.304489936666755,738.348996161975606,897.553474071744404
22.6999092,2033.831627544,2033.831627544,36.22772399711785,-16.01222577751462,272.6258261435849,0.7104964213003875,0.1311974035961333,-0.3083802089376342,-0.6187759880154988,0.07877432378153426,0.9794603340528992,0.170246106498403,-0.07394811121238622,-0.07883415316309902,-0.9793222123512371,-0.1710388469218646,0.07388432536184165,1.7891615393969,0.89172922880296,46.993368023345,47.184917466648,121.99324892663,-7582449.368113885,12094022.78059503,15303884.19061624,-7562861.116403105,12106281.72361605,15303884.19061624,0.092752874722751,2033.831627544,0,2033.83162754401565,619.911880075415979,2033.83162754401565,0.823532167074782828,47.184917466647633,39640.337165600482,46.9933680233447291,121.99324892662851,0,512.539533500146149,738.268264217049364,898.75992890591624
22.749909,2031.4399060346,2031.4399060346,36.17831753078269,-16.0535374566986,273.0290214862206,0.7127677809582381,0.1317295030875182,-0.3078864098707821,-0.6162916412390042,0.07817131789817915,0.980124162964111,0.1674580067103364,-0.07213658032207775,-0.07822981257634939,-0.979987991065401,-0.1682530719038965,0.07207314053633992,1.7835553036723,0.88770811520352,46.993368893011,47.18491835776,121.99321940784,-7582486.24260508,12093997.46210646,15303882.65827543,-7562853.891851735,12106284.03942497,15303882.65827543,0.092961777593748,2031.4399060346,0,2031.43990603461862,619.182883359351763,2031.43990603461862,0.823532182627625509,47.1849183577598765,39637.9465194157019,46.9933688930109739,121.993219407839874,0,514.780591375448353,738.171453413842642,899.960576802890728
22.7999088,2029.0363385752,2029.0363385752,36.12731379837791,-16.09181964451617,273.4326469075833,0.715031160051843,0.1322687663169977,-0.3073663032419139,-0.6138089028706696,0.07757344745339079,0.9807750616260804,0.1646817871340917,-0.07030325546428057,-0.0776305831031092,-0.9806408400354905,-0.1654791690086935,0.07024015977879841,1.778027118587,0.88348869025487,46.993369908027,47.184919394257,121.99318981095,-7582523.075612254,12093972.11410251,15303881.15348358,-7562846.625948045,12106286.32575934,15303881.15348358,0.093170680464745,2029.0363385752,0,2029.03633857518435,618.450275997716176,2029.03633857518435,0.82353220071791633,47.1849193942571929,39635.5442048410187,46.9933699080265299,121.993189810952671,0,517.027578471608081,738.058462399082487,901.155359182172106
22.8499086,2026.6213017404,2026.6213017404,36.07476489932473,-16.12708236341227,273.8366904581879,0.7172865390631005,0.1328151597614102,-0.306820152354374,-0.6113276930793085,0.07698059190181238,0.9814130566012579,0.1619173340827994,-0.06844835809967992,-0.0770363442593185,-0.9812807858516666,-0.1627170245003283,0.06838560462008919,1.7725763480194,0.87906648434665,46.993371069294,47.184920577039,121.99316013711,-7582559.867385238,12093946.73644531,15303879.676741,-7562839.318942413,12106288.58248125,15303879.676741,0.093379583335742,2026.6213017404,0,2026.62130174040794,617.714172770476353,2026.62130174040794,0.823532221361345074,47.1849205770385325,39633.1305995399234,46.9933710692942128,121.993160137112227,0,519.280407835468736,737.929190671358583,902.344217472443574
22.8999084,2024.195175983,2024.195175983,36.0207248909817,-16.15933481736416,274.2411378206519,0.7195338820066478,0.1333686644280163,-0.3062482256997466,-0.608847941812147,0.07639261674200609,0.982038169709476,0.1591645529912777,-0.06657211437274643,-0.07644696161028176,-0.9819078503466865,-0.159966543760875,0.06650970128714433,1.7672021139458,0.87443990198384,46.993372377709,47.184921906995,121.99313038749,-7582596.618181582,12093921.32899774,15303878.22854885,-7562831.971092936,12106290.80945356,15303878.22854885,0.093588486206739,2024.195175983,0,2024.19517598301172,616.974689639622056,2024.19517598301172,0.823532244573463079,47.1849219069949299,39630.7060850627022,46.9933723777090151,121.993130387488506,0,521.538990643954321,737.783538602367003,903.527093109268776
