Time,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/velocities/p-aero-rad_sec,/fdm/jsbsim/velocities/q-aero-rad_sec,/fdm/jsbsim/velocities/r-aero-rad_sec,/fdm/jsbsim/velocities/phidot-rad_sec,/fdm/jsbsim/velocities/thetadot-rad_sec,/fdm/jsbsim/velocities/psidot-rad_sec,/fdm/jsbsim/velocities/u-aero-fps,/fdm/jsbsim/velocities/v-aero-fps,/fdm/jsbsim/velocities/w-aero-fps,/fdm/jsbsim/velocities/vc-fps,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/velocities/mach
0,162.029759999999982,2.48689957516035065e-14,0,0,-7.74237854941570915e-06,2.83968534184317659e-06,0,-7.74237854941570915e-06,2.83968534184317659e-06,-1.02043876507839778e-22,-7.74237854941570915e-06,2.83968534184317744e-06,162.029760000000067,1.57373573191655874e-14,2.36658271566303542e-30,157.355083626963506,162.029760000000067,0.146137667645714481
0.0499998,162.174300795807625,-0.00252682735327880437,0.991833660810669926,0.0180661692237686147,0.094838784880920568,0.0010738859329806423,0.0180661692237686147,0.094838784880920568,0.0010738859329806423,0.0180684305756834279,0.0948384008972066039,0.00110728002827455174,162.17430079580771,-0.00252682735328793682,0.991833660810670148,157.495546860595084,162.177333739967168,0.14627075826493216
0.0999996,162.33014763463072,-0.0152033836652840648,2.40218954671965434,0.0366809917606673655,0.165975967613623182,0.00310345516852002755,0.0366809917606673655,0.165975967613623182,0.00310345516852002755,0.0367092385140880412,0.165970637291985801,0.00337662761237835906,162.330147634630805,-0.0152033836652932051,2.40218954671965523,157.647055770053157,162.347921381341621,0.146424592023156275
0.1499994,162.461376988135953,-0.038018575351113526,3.98469503801986491,0.05522218178490583,0.214316510531406823,0.00552234782146278011,0.05522218178490583,0.214316510531406823,0.00552234782146278011,0.0553349687806843557,0.214293546307556759,0.00635230223283442252,162.461376988136038,-0.0380185753511226784,3.98469503801986669,157.77467458982386,162.510240455299765,0.14657096250120813
0.1999992,162.561911038194978,-0.0689734280772213992,5.5578114102054883,0.0738697368589335962,0.243463594105228054,0.00817249666286971183,0.0738697368589335962,0.243463594105228054,0.00817249666286971183,0.0741578905601322086,0.243400157495254676,0.00988725038524829528,162.561911038195063,-0.0689734280772305725,5.55781141020549097,157.872459493476043,162.656905618529549,0.146703217297066396
0.249999,162.632179694986576,-0.105279598126617913,6.99885174006482202,0.0924049656654756663,0.257150260778594486,0.0109177204516431696,0.0924049656654756663,0.257150260778594486,0.0109177204516431696,0.092979267927302725,0.25701284548867126,0.0137905879230628518,162.632179694986661,-0.105279598126627114,6.99885174006482558,157.940789705948106,162.78274135121211,0.146816696947106001
0.2999988,162.675334615146284,-0.143870735895792023,8.23443119466966778,0.110419301629906624,0.259165970275000657,0.0136302881876455874,0.110419301629906624,0.259165970275000657,0.0136302881876455874,0.111392880739245165,0.258911794434837139,0.017844199715189888,162.675334615146369,-0.143870735895801266,8.2344311946696731,157.982692314866114,162.883673362428311,0.146907734425746839
0.3499986,162.696287813646308,-0.181832198183801808,9.23017186808556289,0.127457352813170083,0.252978987664429389,0.0162079319021808457,0.127457352813170083,0.252978987664429389,0.0162079319021808457,0.128929197330591938,0.252558927323595472,0.0218453613314939475,162.696287813646393,-0.181832198183811078,9.23017186808556822,158.002909973819186,162.958004418327249,0.14697480545812322
0.3999984,162.698236461191584,-0.216581864761387521,9.9818534856375436,0.143107346936117541,0.24175784215023724,0.0185602711832691634,0.143107346936117541,0.24175784215023724,0.0185602711832691634,0.145150397445584112,0.241120633285416913,0.0256193709321530759,162.698236461191669,-0.21658186476139682,9.9818534856375507,158.004525444352652,163.004295815462228,0.147016617604649624
0.4499982,162.684073291810336,-0.245941264452440578,10.5063759397135925,0.157053480871175044,0.22801825565355327,0.0206316557835783607,0.157053480871175044,0.22801825565355327,0.0206316557835783607,0.159711058299741249,0.227114429918530675,0.0290532024436358713,162.684073291810421,-0.245941264452449904,10.5063759397136014,157.990331845609035,163.023164382572645,0.147033730995146633
0.499998,162.655013357322332,-0.26814114382190013,10.8335955116368865,0.169097455621627313,0.21370328706626357,0.022391032771087685,0.169097455621627313,0.21370328706626357,0.022391032771087685,0.172386010521338701,0.212488403949175148,0.0320927722695057635,162.655013357322417,-0.268141143821909456,10.8335955116368954,157.961498052793331,163.015619072693482,0.14702705816981268
0.5499978,161.995919217299956,-0.000242444985719458828,3.31117517636432979,2.01535022575688363e-07,1.42112514388884851e-08,-4.31654594494179211e-10,2.01535022575688363e-07,1.42112514388884851e-08,-4.31654594494179211e-10,2.01525637739906077e-07,1.42103901786823511e-08,-4.59230000118450532e-10,161.995919217299758,-0.000242444985651394865,3.31117517636432046,157.322207006344939,162.029755675200789,0.146137663746114199
0.5999976,161.995914372216419,-0.000241425155454777496,3.31116987776954375,3.48763901838436592e-07,5.72874901024736285e-08,-1.33108606396940528e-09,3.48763901838436592e-07,5.72874901024736285e-08,-1.33108606396940528e-09,3.48734429242497326e-07,5.72848090947327621e-08,-1.44216086642293836e-09,161.99591437221622,-0.00024142515538671356,3.31116987776953442,157.322202287684746,162.029750722847638,0.146137659282046195
