Time,/fdm/jsbsim/accelerations/pdot-rad_sec2,/fdm/jsbsim/accelerations/qdot-rad_sec2,/fdm/jsbsim/accelerations/rdot-rad_sec2,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-x-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-y-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-z-ft_sec2,/fdm/jsbsim/accelerations/n-pilot-x-norm,/fdm/jsbsim/accelerations/n-pilot-y-norm,/fdm/jsbsim/accelerations/n-pilot-z-norm
45.8498166,-0.00442090896593965582,0.00983996197980739444,-0.0114504614174040474,8.3478191310790244,-0.142168630853877431,0.0905425689068337647,0.023855446963407561,-0.14040885399431044,-41.8859772969577904,0.000742082913372394564,-0.00436776605339670582,-1.30296733109445273
45.8998164,-0.00440683212166742815,0.00976953788402587682,-0.0113833166132455022,8.32487965156240506,-0.139307108464802099,0.0914510197750928455,0.00505115912140286644,-0.140139287406833957,-42.0598883310764933,0.000157128847028853067,-0.00435938051533115399,-1.30837726565004386
45.9498162,-0.00439236082382750415,0.00969792368742970583,-0.0113138217529467674,8.30034321865535674,-0.136435936860266338,0.0923263864506580489,-0.0137257002505094608,-0.139882171209170653,-42.2339379385831819,-0.00042697198864469877,-0.00435138227755636417,-1.31379151087496071
45.999816,-0.00437742458007835469,0.00962513120755429871,-0.0112420090817125697,8.27421986089654915,-0.133563833603314919,0.0931683711717674612,-0.0324713290484454561,-0.139637469170202311,-42.4080883918315905,-0.00101010131976592772,-0.00434377021301343876,-1.31920889315708423
46.0498158,-0.00436194729666050315,0.00955117239027932288,-0.0111679222747676464,8.24651986240828982,-0.130699723095620612,0.0939766718349304142,-0.0511818958496950693,-0.139405079087145917,-42.5823017653768616,-0.00159213996041761329,-0.00433654114243103243,-1.32462823273127928
46.0998156,-0.0043458486739219827,0.00947605945685509043,-0.0110916164028196703,8.21725375859824858,-0.12785261842806861,0.0947509850474332893,-0.0698535401708817172,-0.139184832920460161,-42.7565399414765182,-0.00217296782067834216,-0.00432968983852195094,-1.33004834385051596
46.1498154,-0.00432904563426038912,0.00939980503556497871,-0.0110131577371942544,8.18643233163412631,-0.125031503118833598,0.0954910096321128776,-0.088482373049379115,-0.13897649779803975,-42.9307646164257761,-0.00275246392470892155,-0.0043232090572211156,-1.33546803498294486
46.1998152,-0.00431145376393028169,0.00932242227776365097,-0.0109326233981463898,8.15406660568927677,-0.122245214280436443,0.0961964504144141586,-0.107064477951105158,-0.1387797778714423,-43.1049373079107383,-0.00333050643899156316,-0.00431708959542810144,-1.3408861090406361
46.249815,-0.00429298874926864037,0.00924392495521669452,-0.0108501008518381969,8.12016784196385188,-0.119502328736501795,0.0968670221681655619,-0.125595912002521043,-0.138594316995581279,-43.2790193634072295,-0.00390697271065427402,-0.00431132037436564742,-1.34630136364084763
46.2998148,-0.00427356778947912165,0.00916432754004739038,-0.0107656872635577428,8.08474753348870401,-0.116811053567651868,0.0975024536585635815,-0.144072707547056672,-0.138419702193174177,-43.4529719696740244,-0.00448173931588733473,-0.00430588854734991529,-1.35171259140133326
