Time,/fdm/jsbsim/propulsion/tank/contents-lbs,/fdm/jsbsim/propulsion/tank[1]/contents-lbs,/fdm/jsbsim/propulsion/starter_cmd,/fdm/jsbsim/propulsion/magneto_cmd,/fdm/jsbsim/propulsion/active_engine,/fdm/jsbsim/propulsion/total-fuel-lbs,/fdm/jsbsim/propulsion/engine/pitch-angle-rad,/fdm/jsbsim/propulsion/engine/yaw-angle-rad,/fdm/jsbsim/propulsion/engine/advance-ratio,/fdm/jsbsim/propulsion/engine/blade-angle,/fdm/jsbsim/propulsion/engine/thrust-coefficient,/fdm/jsbsim/propulsion/engine/propeller-rpm,/fdm/jsbsim/propulsion/engine/helical-tip-Mach,/fdm/jsbsim/propulsion/engine/constant-speed-mode,/fdm/jsbsim/propulsion/engine/prop-induced-velocity_fps,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine/fuel-flow-rate-pps,/fdm/jsbsim/propulsion/engine/power-hp,/fdm/jsbsim/propulsion/engine/bsfc-lbs_hphr,/fdm/jsbsim/propulsion/engine/volumetric-efficiency,/fdm/jsbsim/propulsion/engine/map-pa,/fdm/jsbsim/propulsion/engine/map-inhg,/fdm/jsbsim/propulsion/engine/air-intake-impedance-factor,/fdm/jsbsim/propulsion/engine/ram-air-factor,/fdm/jsbsim/propulsion/engine/boost-speed,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/throttle-pos-norm
50.749797,129.727870145425328,129.727870145425328,0,0,-1,259.455740290850656,0,0,0.850258185691599278,22,0.0394715995739240849,2337.24502814811422,0.713709991317059811,0,6.96102804825686405,207.089620019210429,0.0111792217634166836,91.7054593802463529,0.320000000000000007,0.849999999999999978,57943.5537903584045,17.110765416272951,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
50.7997968,129.727590652774211,129.727590652774211,0,0,-1,259.455181305548422,0,0,0.850281505083706146,22,0.0394690344407923263,2337.53868320399397,0.713799708613861994,0,6.96129553840867743,207.134503806849438,0.011180117706666437,91.7080527300514063,0.320000000000000007,0.849999999999999978,57941.8622473061623,17.1102659026175914,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
50.8497966,129.727311138870562,129.727311138870562,0,0,-1,259.454622277741123,0,0,0.850291163091751234,22,0.0394679720599073677,2337.81228175346314,0.713882602616576212,0,6.96186471675601126,207.183519973283012,0.011180935070281681,91.7102476950161929,0.320000000000000007,0.849999999999999978,57940.2250144210775,17.1097824267864418,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
50.8997964,129.72703160567923,129.72703160567923,0,0,-1,259.454063211358459,0,0,0.850287177076911038,22,0.0394684105215397929,2338.06579311845917,0.713958664839479673,0,6.96273514503617719,207.236657015041231,0.0111816738233684442,91.7120449041056247,0.320000000000000007,0.849999999999999978,57938.6424508734344,17.1093150948427031,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
50.9497962,129.726752055165775,129.726752055165775,0,0,-1,259.453504110331551,0,0,0.850269566024846601,22,0.0394703477372668754,2338.29919044931012,0.714027888108648701,0,6.96390636360870019,207.293902463686635,0.0111823339472770563,91.713445019060913,0.320000000000000007,0.849999999999999978,57937.1148986078188,17.1088640077628078,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
50.999796,129.726472489296043,129.726472489296043,0,0,-1,259.452944978592086,0,0,0.850238350535012288,22,0.0394737814411486518,2338.51245073192695,0.714090266563448872,0,6.96537789161816079,207.355242892386343,0.0111829154358181332,91.7144487366670802,0.320000000000000007,0.849999999999999978,57935.6426831535427,17.1084292616757523,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
51.0497958,129.726192910035849,129.726192910035849,0,0,-1,259.452385820071697,0,0,0.850193552810310615,22,0.0394787091908658377,2338.70555479462018,0.714145795657591953,0,6.9671492271460238,207.420663923646117,0.0111834182954372204,91.7150567905164991,0.320000000000000007,0.849999999999999978,57934.2261143973956,17.108010948091291,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
51.0997956,129.725913319350639,129.725913319350639,0,0,-1,259.451826638701277,0,0,0.850135196647027525,22,0.0394851283688269772,2338.87848731469921,0.714194472160400551,0,6.96921984735358535,207.490150236674879,0.0111838425454115261,91.715269953085965,0.320000000000000007,0.849999999999999978,57932.8654873148844,17.1076091541158632,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
51.1497954,129.725633719205177,129.725633719205177,0,0,-1,259.451267438410355,0,0,0.850063307425049319,22,0.0394930361832445814,2339.03123682461865,0.714236294157758689,0,6.97158920861524223,207.563685575538727,0.0111841882180168575,91.7150890374676919,0.320000000000000007,0.849999999999999978,57931.5610826631018,17.1072239626572014,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
51.1997952,129.725354111563377,129.725354111563377,0,0,-1,259.450708223126753,0,0,0.849977912098306643,22,0.0395024296691862745,2339.16379571760353,0.714271261052885853,0,6.97425674664381745,207.641252757703768,0.0111844553586807494,91.7145148989644099,0.320000000000000007,0.849999999999999978,57930.3131676360135,17.1068554526178431,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
