Time,/fdm/jsbsim/propulsion/tank/contents-lbs,/fdm/jsbsim/propulsion/tank[1]/contents-lbs,/fdm/jsbsim/propulsion/starter_cmd,/fdm/jsbsim/propulsion/magneto_cmd,/fdm/jsbsim/propulsion/active_engine,/fdm/jsbsim/propulsion/total-fuel-lbs,/fdm/jsbsim/propulsion/engine/pitch-angle-rad,/fdm/jsbsim/propulsion/engine/yaw-angle-rad,/fdm/jsbsim/propulsion/engine/advance-ratio,/fdm/jsbsim/propulsion/engine/blade-angle,/fdm/jsbsim/propulsion/engine/thrust-coefficient,/fdm/jsbsim/propulsion/engine/propeller-rpm,/fdm/jsbsim/propulsion/engine/helical-tip-Mach,/fdm/jsbsim/propulsion/engine/constant-speed-mode,/fdm/jsbsim/propulsion/engine/prop-induced-velocity_fps,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine/fuel-flow-rate-pps,/fdm/jsbsim/propulsion/engine/power-hp,/fdm/jsbsim/propulsion/engine/bsfc-lbs_hphr,/fdm/jsbsim/propulsion/engine/volumetric-efficiency,/fdm/jsbsim/propulsion/engine/map-pa,/fdm/jsbsim/propulsion/engine/map-inhg,/fdm/jsbsim/propulsion/engine/air-intake-impedance-factor,/fdm/jsbsim/propulsion/engine/ram-air-factor,/fdm/jsbsim/propulsion/engine/boost-speed,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/throttle-pos-norm
53.0997876,129.718573824238547,129.718573824238547,0,0,-1,259.437147648477094,0,0,0.781858962291832715,22,0.0468141037708167326,2249.11430534483179,0.683773115636297057,0,8.53264351374217256,225.724251042709909,0.0108059045639226168,89.6303313044384709,0.320000000000000007,0.849999999999999978,57993.5980239158453,17.1255435077917539,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.1497874,129.718303660503352,129.718303660503352,0,0,-1,259.436607321006704,0,0,0.782019895344088001,22,0.0467980104655912055,2249.461595098217,0.683886132352104492,0,8.52955655203398067,225.721404498016398,0.0108070746733787484,89.6351403132547659,0.320000000000000007,0.849999999999999978,57991.7082749419715,17.1249854638114947,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.1997872,129.71803346850686,129.71803346850686,0,0,-1,259.43606693701372,0,0,0.782161874632129939,22,0.0467838125367870117,2249.79256167142876,0.683993301395824593,0,8.5269276126932283,225.724170509912653,0.0108081768016523739,89.6395666739090728,0.320000000000000007,0.849999999999999978,57989.8448186456881,17.1244351840743469,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.249787,129.717763249948973,129.717763249948973,0,0,-1,259.435526499897946,0,0,0.78228494184644104,22,0.0467715058153558988,2250.10719276525197,0.684094620242711726,0,8.52475536303842318,225.732535745904897,0.0108092109252007282,89.6436105981086655,0.320000000000000007,0.849999999999999978,57988.0076958854261,17.1238926806458274,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.2997868,129.71749300653002,129.71749300653002,0,0,-1,259.43498601306004,0,0,0.782389140431486441,22,0.0467610859568513559,2250.40547869272996,0.684190087339428654,0,8.52303847106847456,225.74648582756376,0.0108101770300676747,89.647272335841393,0.320000000000000007,0.849999999999999978,57986.1969412584876,17.1233579637425457,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.3497866,129.717222739950529,129.717222739950529,0,0,-1,259.434445479901058,0,0,0.782474515556140338,22,0.0467525484443859704,2250.68741237644235,0.684279702101319387,0,8.52177560584037508,225.766005344323986,0.0108110751120203095,89.6505521769987013,0.320000000000000007,0.849999999999999978,57984.4125838105756,17.122831041941712,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.3997864,129.716952451911027,129.716952451911027,0,0,-1,259.433904903822054,0,0,0.782541114083804445,22,0.0467458885916195582,2250.95298934512584,0.684363464909343189,0,8.52096543784954008,225.791077868054884,0.0108119051766826634,89.6534504529708727,0.320000000000000007,0.849999999999999978,57982.6546477098673,17.1223119223801987,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.4497862,129.716682144111729,129.716682144111729,0,0,-1,259.433364288223459,0,0,0.782588984542408772,22,0.0467411015457591256,2251.20220772969333,0.68444137710681785,0,8.52060663940788743,225.821685967966687,0.0108126672396429806,89.6559675379683796,0.320000000000000007,0.849999999999999978,57980.9231528836535,17.1218006109425538,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.499786,129.716411818252311,129.716411818252311,0,0,-1,259.432823636504622,0,0,0.782618177094499434,22,0.0467381822905500594,2251.43506825847999,0.684513440995857647,0,8.5206978850139734,225.857811225933204,0.0108133613265591691,89.6581038503376817,0.320000000000000007,0.849999999999999978,57979.2181156212391,17.1212971124390165,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
53.5497858,129.716141476031652,129.716141476031652,0,0,-1,259.432282952063304,0,0,0.782628743507621349,22,0.0467371256492378692,2251.65157425176767,0.684579659833623344,0,8.52123785170988413,225.899434251803399,0.010813987473265025,89.65985985391913,0.320000000000000007,0.849999999999999978,57977.5395491429954,17.1208014307735681,0.15185387364528502,1,0,0.723440491407509878,0.723440491407509878
