Time,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/velocities/p-aero-rad_sec,/fdm/jsbsim/velocities/q-aero-rad_sec,/fdm/jsbsim/velocities/r-aero-rad_sec,/fdm/jsbsim/velocities/phidot-rad_sec,/fdm/jsbsim/velocities/thetadot-rad_sec,/fdm/jsbsim/velocities/psidot-rad_sec,/fdm/jsbsim/velocities/u-aero-fps,/fdm/jsbsim/velocities/v-aero-fps,/fdm/jsbsim/velocities/w-aero-fps,/fdm/jsbsim/velocities/vc-fps,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/velocities/mach
49.749801,156.225489999185072,-0.450337545613120227,5.37130188991352497,-3.41430024366647225e-05,0.0452543804652787707,0.000113832248144565406,-3.41430024366647225e-05,0.0452543804652787707,0.000113832248144565406,-3.24967235100010173e-05,0.0452545232200742761,-6.31750860745751856e-06,156.225489999185243,-0.450337545613062384,5.37130188991346991,151.745382381538093,156.318448730094246,0.140980141707368278
49.7998008,156.683341353468023,-0.447757361604667281,5.37072065717302394,-2.96434721467727088e-05,0.0460669070621481797,0.000126392852242435388,-2.96434721467727088e-05,0.0460669070621481797,0.000126392852242435388,-3.07761717072642702e-05,0.0460670802579426844,4.38371662582775502e-06,156.683341353468194,-0.447757361604609438,5.37072065717296976,152.19539399663131,156.776001303514846,0.141391670242865058
49.8498006,157.136435004805833,-0.445259649212243147,5.37027275937196436,-2.63451881201961371e-05,0.0468682071823714255,0.000134970799127493606,-2.63451881201961371e-05,0.0468682071823714255,0.000134970799127493606,-2.91586603477199639e-05,0.0468684003234199828,1.09838782225883406e-05,157.136435004806003,-0.445259649212185304,5.37027275937191018,152.640787904141064,157.22880554047623,0.141798915498109135
49.8998004,157.5847203419724,-0.442814269490988011,5.3699484494388372,-2.41875414066135624e-05,0.0476579992837819905,0.000139695384812672406,-2.41875414066135624e-05,0.0476579992837819905,0.000139695384812672406,-2.76464091191270675e-05,0.0476582021991899113,1.36249182800431563e-05,157.58472034197257,-0.442814269490930168,5.36994844943878302,153.08151313810373,157.676810330766784,0.142201831762623548
49.9498002,158.028147664311831,-0.440392143194412,5.36973722092046302,-2.31065519620377743e-05,0.0484360983760847852,0.000140724493406677416,-2.31065519620377743e-05,0.0484360983760847852,0.000140724493406677416,-2.62452385024735626e-05,0.0484363012980631724,1.24777964672311902e-05,158.028147664312002,-0.440392143194354158,5.36973722092040973,153.517519607126218,158.119965460643584,0.142600374136636204
49.9998,158.466668178229867,-0.437965482345882506,5.36962856920238352,-2.30266595146273444e-05,0.0492024008483940289,0.000138243313607750199,-2.30266595146273444e-05,0.0492024008483940289,0.000138243313607750199,-2.4955593992667001e-05,0.0492025944870399523,7.74109144925281741e-06,158.466668178230037,-0.437965482345824664,5.36962856920233023,153.9487580920715,158.558221635600404,0.14299449855138302
50.0497998,158.900233995960804,-0.435508007448749623,5.3696125172594833,-2.3865273402925834e-05,0.0499568679922095041,0.000132462594729442634,-2.3865273402925834e-05,0.0499568679922095041,0.000132462594729442634,-2.37762211915123895e-05,0.0499570436055594078,-3.60853316045594689e-07,158.900233995960974,-0.435508007448691781,5.36961251725943089,154.375180245919523,158.991530497008597,0.143384161783882857
50.0997996,159.328798135896676,-0.432995151987896065,5.36967994008914218,-2.55362012916489281e-05,0.0506995099533542673,0.000123616641529596919,-2.55362012916489281e-05,0.0506995099533542673,0.000123616641529596919,-2.270666560165797e-05,0.0506996594120004834,-1.15800584889955098e-05,159.328798135896847,-0.432995151987838223,5.36967994008909066,154.796738595247376,159.419844633251387,0.143769321466734018
50.1497994,159.752314523787675,-0.43040425165158247,5.36982272737059674,-2.79475653601247625e-05,0.0514303712213461037,0.000111961070916324429,-2.79475653601247625e-05,0.0514303712213461037,0.000111961070916324429,-2.17442213401070574e-05,0.0514304870669679073,-2.56472764672270823e-05,159.752314523787845,-0.430404251651524627,5.36982272737054522,155.213386542500785,159.843117586120854,0.144149936093641989
50.1997992,160.170737994229796,-0.427714713880023467,5.3700338234131948,-3.10040857083309997e-05,0.0521495182186014553,9.77702500636711935e-05,-3.10040857083309997e-05,0.0521495182186014553,9.77702500636711935e-05,-2.08851956261459662e-05,0.0521495937155558864,-4.22746783925767014e-05,160.170737994229967,-0.427714713879965625,5.37003382341314417,155.625078368466149,160.261303853292475,0.144525965021431974
