Time,/fdm/jsbsim/accelerations/pdot-rad_sec2,/fdm/jsbsim/accelerations/qdot-rad_sec2,/fdm/jsbsim/accelerations/rdot-rad_sec2,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-x-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-y-ft_sec2,/fdm/jsbsim/accelerations/a-pilot-z-ft_sec2,/fdm/jsbsim/accelerations/n-pilot-x-norm,/fdm/jsbsim/accelerations/n-pilot-y-norm,/fdm/jsbsim/accelerations/n-pilot-z-norm
0,0.227827230683754267,1.91856917745001243,-0.0247593333084790736,-2.37635754153896261,-0.0199619656216958562,15.2523689711746435,-4.27193654198183292,0.204787912015137463,-17.9271896666830344,-0.132889193804610367,0.00637043651308452207,-0.557669749673444848
0.0499998,0.376034088299688263,1.62910639387787848,0.0365220575086995583,3.28562973627169841,-0.167411839044729421,26.0584395262639852,1.54129581675182692,0.420101436978528531,-21.8139588281152257,0.0479458335791542734,0.013068298353124834,-0.678577355695075157
0.0999996,0.370062678641444376,1.14558808473602758,0.0456539806644108148,2.8898690800065161,-0.385527362947096386,31.4453723767088782,2.14414372393153663,0.420247673902368446,-27.433170598662354,0.066698914666529871,0.0130728474157624872,-0.853376890909837926
0.1499994,0.372364594559288942,0.731234590619913027,0.0514942333937280852,2.30676100260916073,-0.573712083737484946,32.5806601710547454,2.74333999384576321,0.432306519462795247,-33.8131656314993805,0.0853384025093644749,0.0134479677502972322,-1.05184247860272184
0.1999992,0.37282000315012942,0.389534324204365068,0.0545732304947331229,1.69541300137039386,-0.70973454099255695,30.7570806704081257,3.3427435736278337,0.443838960796307913,-40.1911415356491588,0.103984339240410506,0.0138067129742369329,-1.2502452562840809
0.249999,0.366136545818173675,0.126058712844227983,0.0548410568294075904,1.10951244662893078,-0.784565237040172336,27.0523647847968363,3.88986218356484681,0.447712562835645922,-46.0524058018392992,0.121003822155364801,0.013927210984230479,-1.4325744354175407
0.2999988,0.350370356485007584,-0.0664364597474507296,0.0529827760676895715,0.628747081525901308,-0.797500160744386788,22.3518945382719103,4.37033782484860733,0.440898199552339332,-51.0869946669000825,0.135950210048882275,0.0137152332935248384,-1.58918782347718968
0.3499986,0.325785752559493991,-0.191493680582173559,0.0491182627630361787,0.222015394943983591,-0.754973339029068269,17.3366411857774096,4.73220620536472314,0.422822368539357119,-55.1500904989298206,0.147207024581959917,0.0131529396856827109,-1.71558050842536436
0.3999984,0.293973439752202859,-0.26097343723386901,0.043880508037458299,-0.119533839427630184,-0.664377972301094522,12.5176561129766633,4.96058410734943767,0.394773657738600237,-58.2201905456525921,0.154311286309466195,0.0122804148883358735,-1.81108359375893424
0.4499982,0.257189640299332389,-0.286806837569227702,0.0378228221794169178,-0.422166399875701259,-0.534707085267576376,8.21940101327598782,5.06611231513886473,0.359069591711377312,-60.3633814295317706,0.157594003250358911,0.011169751257620264,-1.87775286796963359
0.499998,0.217839988389025158,-0.280481856435013055,0.0314206149579585245,-0.717069001148512797,-0.373371569953513838,4.62558329765894172,5.05671769210113276,0.318327729507799084,-61.6987400742882244,0.1573017601729364,0.00990237446746309799,-1.91929251445028526
0.5499978,3.34570598798702951e-06,6.6689913679634889e-07,-1.68148801377550595e-08,-9.04979628850721696e-05,2.00143834364480133e-05,-0.000116873117967486451,0.554087939644163252,0.0815198355458264245,-32.0580580101617016,0.0172362812210714728,0.00253587690695040351,-0.997245497924799773
0.5999976,2.43603844886253765e-06,1.08720017888422739e-06,-1.69104361498372536e-08,-0.000103322013463968965,2.09089258352002094e-05,-9.41798391664860901e-05,0.554087189743869724,0.0815186526792472249,-32.0580413409218323,0.0172362578935607615,0.00253584011094827588,-0.997244979386702202
0.6499974,1.76790501775631438e-06,1.29586300857011968e-06,-4.93364947076093847e-09,-0.000116100737674096344,2.18389147343817092e-05,-7.31341531974294412e-05,0.554086858799277104,0.081517747015857081,-32.0580289603711819,0.0172362475987074375,0.0025358119380396683,-0.997244594258931971
0.6999972,1.28588543736280502e-06,1.34748457184551618e-06,1.54626132956385794e-08,-0.000128837922063973487,2.26966154041330359e-05,-5.4784771108984387e-05,0.554086873280759007,0.0815170537372060661,-32.0580204450901363,0.0172362480491898909,0.00253579037188574486,-0.997244329369970761
0.749997,9.44537776530146426e-07,1.29022606178238732e-06,4.13566764493136498e-08,-0.000141537824877469021,2.34096739206990367e-05,-3.96137296405640882e-05,0.554087160420034364,0.0815165203241561692,-32.0580152071186575,0.0172362569813700461,0.00253577377874830744,-0.997244166429861467
0.7999968,7.07391593427557977e-07,1.16426573349109585e-06,7.04778965396556202e-08,-0.000154204618469933052,2.39329480161559749e-05,-2.76922856627948022e-05,0.554087653536552538,0.0815161051585368834,-32.0580125952497283,0.0172362723209838059,0.00253576086399081961,-0.997244085181192896
0.8499966,5.45825879978303458e-07,1.0014027106263393e-06,1.01112447198455802e-07,-0.000166842032394920459,2.42416631877212518e-05,-1.88154946201279927e-05,0.554088295071486381,0.0815157760421821725,-32.0580119667982473,0.0172362922775209197,0.00253575062600937609,-0.997244065631649024
0.8999964,4.37907428247635928e-07,8.25448186631759266e-07,1.3200560305796666e-07,-0.000179453153723474479,2.43258599015028221e-05,-1.26123519734733236e-05,0.554089037874009427,0.0815155087143924623,-32.0580127342422543,0.0172363153842378554,0.00253574231011467408,-0.997244089504900511
0.9499962,3.67252879780620241e-07,6.53104924990164905e-07,1.62268307429531317e-07,-0.00019204034595066144,2.41860273298838413e-05,-8.63121541527789304e-06,0.554089845243784018,0.0815152854325882359,-32.0580143917997304,0.0172363404994794779,0.00253573536437972161,-0.997244141067341716
0.999996,3.21963564406236965e-07,4.9509833128009941e-07,1.91292834484564995e-07,-0.000204605250357703383,2.38297792662933716e-05,-6.40234127757821625e-06,0.554090690148365983,0.0815150936651102831,-32.0580165265646642,0.0172363667823344884,0.00253572939897614121,-0.997244207474505817
1.0499958,2.93666070646971752e-07,3.57386407365185539e-07,2.1868030402724917e-07,-0.00021714884153090086,2.32694084268125767e-05,-5.48048275561541232e-06,0.554091553961993943,0.0815149249292942135,-32.0580188187531832,0.0172363936534023245,0.0025357241500295934,-0.99724427877872146
1.0999956,2.76677520664449877e-07,2.42326043777807558e-07,2.44181149737931284e-07,-0.00022967151328345814,2.25201520557966051e-05,-5.47101122094773018e-06,0.554092424986783127,0.0815147737898832547,-32.0580210346218735,0.0172364207487912396,0.00253571944846292053,-0.997244347708819312
