Time,/fdm/jsbsim/forces/fbx-aero-lbs,/fdm/jsbsim/forces/fby-aero-lbs,/fdm/jsbsim/forces/fbz-aero-lbs,/fdm/jsbsim/forces/fwx-aero-lbs,/fdm/jsbsim/forces/fwy-aero-lbs,/fdm/jsbsim/forces/fwz-aero-lbs,/fdm/jsbsim/forces/fbx-gear-lbs,/fdm/jsbsim/forces/fby-gear-lbs,/fdm/jsbsim/forces/fbz-gear-lbs,/fdm/jsbsim/forces/fbx-total-lbs,/fdm/jsbsim/forces/fby-total-lbs,/fdm/jsbsim/forces/fbz-total-lbs,/fdm/jsbsim/forces/load-factor,/fdm/jsbsim/moments/l-aero-lbsft,/fdm/jsbsim/moments/m-aero-lbsft,/fdm/jsbsim/moments/n-aero-lbsft,/fdm/jsbsim/moments/l-gear-lbsft,/fdm/jsbsim/moments/m-gear-lbsft,/fdm/jsbsim/moments/n-gear-lbsft,/fdm/jsbsim/moments/l-total-lbsft,/fdm/jsbsim/moments/m-total-lbsft,/fdm/jsbsim/moments/n-total-lbsft
0.5999976,-194.771641521550094,6.28328606608775608,-2471.04817831771516,245.228248493283388,6.28292067475311899,2466.55188525212225,0,0,0,42.7093762098816967,6.28328606608775608,-2471.04817831771516,-0.994581327854605957,-209.720562016016629,-174.68365413862864,-87.7058429393605508,0,0,0,0.00509173776120519506,0.00160737839792091108,-1.54373920793204888e-05
0.6499974,-194.771663856131511,6.28327126273356207,-2471.04675250816263,245.228179263885465,6.28290748598230575,2466.55046548588325,0,0,0,42.7093628916346972,6.28327126273356207,-2471.04675250816263,-0.994580947631524381,-209.721967937445015,-174.683239131824621,-87.7058527791327123,0,0,0,0.0036894236921511947,0.00192868422988112798,1.40833874979762186e-05
0.6999972,-194.77167419132806,6.28325660240247696,-2471.04562123224196,245.228119210637999,6.28289450987223397,2466.54933893016869,0,0,0,42.7093623349488496,6.28325660240247696,-2471.04562123224196,-0.994580688513448163,-209.722982225358464,-174.683062761959945,-87.7058383917481876,0,0,0,0.00267895708606147309,0.00201166416673004278,7.20265148288490309e-05
0.749997,-194.771674090665215,6.2832420139572287,-2471.04473648705971,245.228066719210233,6.28288166706524187,2466.54845777856235,0,0,0,42.7093729546979262,6.2832420139572287,-2471.04473648705971,-0.994580531731939055,-209.723700656479082,-174.683051905309412,-87.7058065766734813,0,0,0,0.00196454683629099236,0.00192928077501619555,0.000148762414212910699
0.7999968,-194.771665262508947,6.28322748769064887,-2471.04404665944594,245.228020022803918,6.28286893514629696,2466.54777063439906,0,0,0,42.7093930227470082,6.28322748769064887,-2471.04404665944594,-0.994580456634505339,-209.724200112467997,-174.683145596001964,-87.7057628462584375,0,0,0,0.00146929811521090414,0.00174238778166113661,0.000236802669931535092
0.8499966,-194.771649380780474,6.28321305651218065,-2471.0435017585587,245.227977393657596,6.28285633164496549,2466.54722771970364,0,0,0,42.7094208469364389,6.28321305651218065,-2471.0435017585587,-0.994580442929568265,-209.724540928168153,-174.683295599867506,-87.705711600857299,0,0,0,0.00113286389108679941,0.00149914558429031786,0.00033048636728949532
0.8999964,-194.771627969963333,6.28319878132288334,-2471.04305674031139,245.227937266702384,6.2828439007484711,2466.54678418430467,0,0,0,42.7094548861103931,6.28319878132288334,-2471.04305674031139,-0.994580472135891847,-209.724769331619882,-174.683465804577622,-87.7056563042390138,0,0,0,0.000909004975454763553,0.00123562220304052062,0.000425658000139605974
0.9499962,-194.771602340863268,6.2831847397966003,-2471.04267331215397,245.227898308307772,6.28283170304851701,2466.54640190199143,0,0,0,42.7094938141223963,6.2831847397966003,-2471.04267331215397,-0.994580528399343411,-209.724919839418362,-174.683630876512098,-87.7055996491052667,0,0,0,0.00076319450084838536,0.000977128880350619511,0.000519361142195862158
0.999996,-194.77157356490099,6.28317101799810551,-2471.04232059953347,245.227859443694655,6.28281980782894411,2466.54605013343371,0,0,0,42.7095365454513853,6.28317101799810551,-2471.04232059953347,-0.994580598824851947,-209.725017502235573,-174.683774541372031,-87.7055437068914898,0,0,0,0.00067037235447742205,0.000739933541836990116,0.000609562764566362603
1.0499958,-194.771542475718377,6.28315770424834774,-2471.04197501040289,245.227819854901099,6.28280828737965891,2466.54570539077076,0,0,0,42.7095822335480761,6.28315770424834774,-2471.04197501040289,-0.994580673468070664,-209.72507992949761,-174.683887748577035,-87.7054900580638019,0,0,0,0.000612920501140479246,0.000533091874984847891,0.000694916649351284832
1.0999956,-194.771509688244805,6.28314488469467491,-2471.04161957912493,245.227778959078393,6.28279721285979775,2466.54535078398339,0,0,0,42.7096302514415527,6.28314488469467491,-2471.04161957912493,-0.994580745099570951,-209.725119051822389,-174.683966903641931,-87.7054399011243504,0,0,0,0.000578900291515083154,0.000360211396497334135,0.000774569137277580921
1.1499954,-194.771475628277585,6.28313264025814355,-2471.04124302481978,245.227736376135681,6.28278665142128556,2466.54497508307531,0,0,0,42.7096801623011117,6.28313264025814355,-2471.04124302481978,-0.994580808839307107,-209.725142605806582,-174.684012282111894,-87.7053941413565639,0,0,0,0.000560567828301827831,0.000221035266918079287,0.000848005837895016157
1.1999952,-194.771440566099187,6.28312104451486597,-2471.04083868715134,245.227691891099397,6.28277666419748915,2466.54457165831627,0,0,0,42.7097316855471547,6.28312104451486597,-2471.04083868715134,-0.994580861735099409,-209.725155346100337,-174.684026684942296,-87.7053534599800173,0,0,0,0.000553161682802283394,0.000112785112861502057,0.000914936307097491408
1.249995,-194.771404650462301,6.2831101623270893,-2471.04040346969987,245.227645416397962,6.28276730499079061,2466.54413742812312,0,0,0,42.7097846628439584,6.2831101623270893,-2471.04040346969987,-0.994580902334259775,-209.725160002748339,-174.68401435918986,-87.7053183666145344,0,0,0,0.000553945553946277869,3.12392817818363255e-05,0.000975211281016186149
1.2999948,-194.771367940087089,6.28310004896690621,-2471.03993686836748,245.227596956849027,6.28275861942684433,2466.54367189166214,0,0,0,42.7098390266102399,6.28310004896690621,-2471.03993686836748,-0.994580930286242726,-209.725158012409338,-174.68398017560412,-87.705289237357178,0,0,0,0.0005614770744841735,-2.84453838048648322e-05,0.00102876703719800844
1.3499946,-194.771330430903674,6.28309074961565628,-2471.03944012869624,245.227546578908289,6.28275064446554499,2466.5431762898379,0,0,0,42.70989477257109,6.28309074961565628,-2471.03944012869624,-0.994580945995331089,-209.725150055342397,-174.683929039238819,-87.7052663413648759,0,0,0,0.000575070660829624103,-7.11446918444380572e-05,0.00107559091236453241
1.3999944,-194.771292078532952,6.28308229907607085,-2471.03891555732207,245.227494385393612,6.2827434081215543,2466.54265291978163,0,0,0,42.7099519372567897,6.28308229907607085,-2471.03891555732207,-0.994580950333342817,-209.725136432560362,-174.683865500145089,-87.7052498582690561,0,0,0,0.000594420352200586422,-0.000101378037442145796,0.00111570307373654032
1.4499942,-194.771252815996291,6.28307472173021875,-2471.03836598691714,245.227440495778069,6.28273692941651873,2466.54210460217564,0,0,0,42.7100105803723409,6.28307472173021875,-2471.03836598691714,-0.994580944415112134,-209.725117315283114,-174.683793524221528,-87.7052398895017404,0,0,0,0.000619350439109211948,-0.000123079359696021129,0.00114914908614593969
1.499994,-194.771212566555334,6.28306803155475713,-2471.03779438137599,245.227385031326662,6.28273121839308146,2466.54153428821155,0,0,0,42.7100707717809485,6.28306803155475713,-2471.03779438137599,-0.994580929430372573,-209.725092897019522,-174.683716388965195,-87.7052364645390696,0,0,0,0.000649663234099762121,-0.000139493164908799372,0.00117600025119202201
1.5499938,-194.771171252604802,6.2830622322861851,-2471.03720356552503,245.227328104831344,6.2827262762677476,2466.54094479052992,0,0,0,42.710132582499881,6.2830622322861851,-2471.03720356552503,-0.994580906528370168,-209.725063473489172,-174.683636667841824,-87.7052395446181521,0,0,0,0.000685059058952219857,-0.000153159146947245972,0.00119635779770987938
1.5999936,-194.771128801517136,6.28305731767429254,-2471.03659606081055,245.227269814466496,6.28272209566676754,2466.54033861967946,0,0,0,42.7101960790785711,6.28305731767429254,-2471.03659606081055,-0.994580876744768805,-209.725029472895699,-174.683556275029559,-87.7052490249757284,0,0,0,0.000725106174996881236,-0.000165956974456094031,0.00121035891993415134
1.6499934,-194.771085148472082,6.28305327179188122,-2471.03597399634737,245.227210240136799,6.28271866091174225,2466.53971789559364,0,0,0,42.710261320497267,6.28305327179188122,-2471.03597399634737,-0.994580840962005941,-209.724991453068014,-174.683476545910025,-87.7052647362729942,0,0,0,0.00076924340916662004,-0.000179187233470656793,0.00121818296948106308
1.6999932,-194.771040237632889,6.283050069431523,-2471.03533908316695,245.227149442437366,6.28271594838251168,2466.53908432198477,0,0,0,42.7103283570671124,6.283050069431523,-2471.03533908316695,-0.994580799895034562,-209.724950079440532,-174.68339833512573,-87.7052864462792172,0,0,0,0.000816802246845327318,-0.00019366972580314723,0.00122005660243473812
1.749993,-194.770994021907512,6.28304767659861518,-2471.0346926282441,245.227087463087798,6.28271392696256559,2466.53843920033614,0,0,0,42.7103972306160813,6.28304767659861518,-2471.0346926282441,-0.994580754094751329,-209.724906093185837,-174.683322118146862,-87.7053138622379151,0,0,0,0.000867038656764407278,-0.000209845409699482843,0.00121625706708528014
1.7999928,-194.770946461901644,6.28304605105676028,-2471.03403557474621,245.227024326428904,6.28271255852805588,2466.53778346999434,0,0,0,42.7104679755061909,6.28304605105676028,-2471.03403557474621,-0.994580703962851032,-209.724860276956974,-174.683248087289485,-87.70534663390427,0,0,0,0.000919167329072934081,-0.00022787279979752384,0.00120711364515102559
1.8499926,-194.770897524428108,6.28304514294540262,-2471.03336855652651,245.226960041527519,6.28271179849769368,2466.53711776243154,0,0,0,42.7105406201028472,6.28304514294540262,-2471.03336855652651,-0.994580649772792813,-209.72481342228275,-174.68317623689461,-87.7053843575067162,0,0,0,0.000972394265573939265,-0.00024771353193386858,0.0011930070474193144
