Time,Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-geod-rad,/fdm/jsbsim/position/lat-geod-deg,/fdm/jsbsim/position/geod-alt-ft,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/terrain-elevation-asl-ft,/fdm/jsbsim/position/distance-from-start-lon-mt,/fdm/jsbsim/position/distance-from-start-lat-mt,/fdm/jsbsim/position/distance-from-start-mag-mt
37.1498514,2056.1221697517,2056.1221697517,-0.1695987052280834,27.40941479961118,342.7855608482516,0.9606392609127768,0.03403539150120883,0.2344646241314652,-0.1450522062886466,0.2953125428038723,0.7780136840667661,-0.26279342468616,0.4882876461772191,-0.294659792896716,-0.7783641535522735,0.2617535503451192,-0.4886818287972682,2.4753904868856,-0.62963189029675,46.998120941191,47.189667803864,121.98743666427,-7593295.30201828,12085734.68139305,15305084.56049325,-7560968.499187244,12105984.95319476,15305084.56049325,0.15312580444095,2056.1221697517,0,2056.12216975167394,626.706037340310218,2056.12216975167394,0.823615076099796561,47.1896678038644595,39668.4313977569618,46.9981209411914662,121.987436664268827,0,953.804806381176491,209.175869736425597,976.488682852627562
37.1998512,2058.8244356923,2058.8244356923,-0.518860135181805,27.42871814811265,342.7970475206322,0.9607136349586878,0.03110843145743026,0.2350705380999037,-0.1442339045236772,0.2977184745205211,0.7769906492807703,-0.2643234497285022,0.4876293210862576,-0.2970657124845585,-0.7773436441856537,0.2632835239628504,-0.4880272608368433,2.4868569616746,-0.6630030429289,46.998136084805,47.189682915176,121.98742949091,-7593336.68237567,12085706.08179341,15305090.3092259,-7560965.816943546,12105984.03197449,15305090.3092259,0.15333470731195,2058.8244356923,0,2058.82443569228053,627.529687999007137,2058.82443569228053,0.823615339841945793,47.1896829151764905,39671.1521404281739,46.9981360848054948,121.987429490906351,0,954.349405979109974,207.490090333807331,976.660995058433059
37.249851,2061.5136562288,2061.5136562288,-0.4889643125370731,27.44785004795099,342.8122398258142,0.9606855605804037,0.03135231424445932,0.2351974025860862,-0.1441612565864731,0.2975489476782697,0.7769377584420682,-0.2642692578834251,0.487846392402683,-0.2968950052515493,-0.7772911607518964,0.2632279859213521,-0.4882446463622931,2.5062118123797,-0.69226236153187,46.998151153006,47.189697951232,121.98742234719,-7593378.074861931,12085677.48764535,15305096.0296313,-7560963.146921295,12105983.11637966,15305096.0296313,0.15354361018295,2061.5136562288,0,2061.51365622878075,628.349362418532451,2061.51365622878075,0.823615602270613367,47.1896979512315653,39673.859745683716,46.9981511530055158,121.987422347190062,0,954.891754847717948,205.812705980513527,976.836058601258173
37.2998508,2064.1895213984,2064.1895213984,-0.04927676057160133,27.46607741533168,342.8290916082428,0.9605421964532693,0.03502679931414613,0.2348004619471511,-0.1449156831814268,0.2945962182738953,0.777941808050911,-0.2624834942995509,0.4890010497795443,-0.2939398391701751,-0.7782932932894452,0.2614394597490829,-0.4893958821397955,2.5323812382975,-0.69801306224787,46.998166146177,47.189712912418,121.98741523233,-7593419.479144161,12085648.89878657,15305101.72157885,-7560960.488787965,12105982.20624722,15305101.72157885,0.15375251305394,2064.1895213984,0,2064.1895213983953,629.164966122230908,2064.1895213983953,0.823615863392579306,47.1897129124181518,39676.5539040313961,46.9981661461773541,121.987415232334541,0,955.431912615774309,204.14367372580125,977.013874354388918
37.3498506,2066.8518253304,2066.8518253304,0.5082105204956815,27.48045045486052,342.8426604871107,0.9603481815080113,0.03968972317073226,0.2342178675355293,-0.1459386401060248,0.2908325028217773,0.7792609738132288,-0.2601725331341996,0.4903866260376734,-0.2901733733217308,-0.7796098295397575,0.2591253094369558,-0.4907769362034848,2.5585769854964,-0.68232539941396,46.998181065746,47.189727800163,121.98740815082,-7593460.895891117,12085620.31418138,15305107.38527309,-7560957.843215037,12105981.30054339,15305107.38527309,0.15396141592494,2066.8518253304,0,2066.85182533040643,629.976436360707908,2066.85182533040643,0.823616123232741359,47.1897278001627853,39679.2344113388244,46.9981810657463654,121.987408150824322,0,955.969538817039052,202.482834900824258,977.194028417112122
37.3998504,2069.5003388524,2069.5003388524,0.9085233755732854,27.4888186344611,342.849890768117,0.9601956908873964,0.04304003809050522,0.2337794955086443,-0.1466933461414226,0.2881233278414455,0.7802133893018772,-0.2584936992151967,0.4913583443615179,-0.2874619987563722,-0.7805604578707294,0.2574437744217493,-0.4917455377439764,2.5797272040288,-0.654658130896,46.998195913383,47.189742616137,121.98740110798,-7593502.325904434,12085591.73261458,15305113.02096244,-7560955.211007361,12105980.39805528,15305113.02096244,0.15417031879594,2069.5003388524,0,2069.50033885240555,630.783703282213196,2069.50033885240555,0.823616381820268639,47.1897426161367335,39681.9010404796645,46.998195913382574,121.987401107978911,0,956.504229597341805,200.830003598367199,977.376040095936105
37.4498502,2072.1347376145,2072.1347376145,0.929398021965232,27.49001491524496,342.849806688338,0.9601852620287441,0.04321661563877511,0.2337627673165573,-0.146736346322333,0.2879839905825483,0.7802610970604645,-0.2584004587292238,0.4914133133225817,-0.2873216911059089,-0.7806085092955066,0.2573490467690134,-0.4918008429868415,2.593315363238,-0.62850775927919,46.998210690741,47.189757361997,121.98739410832,-7593543.769786082,12085563.15292458,15305118.62882189,-7560952.592770004,12105979.49762306,15305118.62882189,0.15437922166694,2072.1347376145,0,2072.13473761454225,631.586668024912456,2072.13473761454225,0.823616639184078569,47.1897573619968469,39684.5534691175417,46.9982106907406845,121.987394108324779,0,957.035641308875938,199.184995618480997,977.559488933130069
37.49985,2074.7545990348,2074.7545990348,0.5637010278801512,27.48480701947207,342.84497184679,0.9603228382866642,0.04015550445974318,0.2341845029266105,-0.146031504531198,0.2904635908235084,0.7793758730538359,-0.2599424060821913,0.490544693608733,-0.2898015643253961,-0.7797258353875954,0.258890763850981,-0.4909360929248587,2.6015013235913,-0.62242675476732,46.998225398655,47.189772038581,121.98738715194,-7593585.227281221,12085534.57466774,15305124.2087503,-7560949.988249298,12105978.59880257,15305124.2087503,0.15458812453793,2074.7545990348,0,2074.75459903478622,632.385201785802906,2074.75459903478622,0.823616895338796784,47.189772038581097,39687.1912756953316,46.9982253986552223,121.987387151942769,0,957.563767812589845,197.547718061374837,977.744304500608223
37.5498498,2077.3594517782,2077.3594517782,0.09363083869420361,27.47587434243665,342.8404722300813,0.9604921013318688,0.03621373991309985,0.2347052733748059,-0.1451100374565968,0.2936406600733178,0.7782304402232568,-0.2619396032388229,0.4894079984192228,-0.2929792712032499,-0.7785835734949765,0.2608880850456543,-0.4898042188571025,2.6103747322878,-0.63251372640089,46.998240037005,47.189786645772,121.98738023421,-7593626.697260509,12085505.99821226,15305129.76037268,-7560947.396314895,12105977.70195911,15305129.76037268,0.15479702740893,2077.3594517782,0,2077.35945177823305,633.179160902005492,2077.35945177823305,0.82361715028237803,47.1897866457723225,39689.8139887373109,46.9982400370046278,121.987380234207635,0,958.088960257214353,195.918184459134949,977.930788625294213
37.5998496,2079.9488362446,2079.9488362446,-0.2658077101636278,27.46491214281318,342.8388830603471,0.9606213925323402,0.03319014215898345,0.235066943849664,-0.1443900501484534,0.2960563099708687,0.7773575620580772,-0.2634887850133961,0.4885074638219154,-0.2953952441031956,-0.7777132672811947,0.2624370267540803,-0.4889074867953042,2.623427225178,-0.65124981371194,46.99825460562,47.189801183406,121.98737335033,-7593668.178570292,12085477.42396607,15305135.28331079,-7560944.815812021,12105976.8074976,15305135.28331079,0.15500593027993,2079.9488362446,0,2079.94883624464273,633.968405287367091,2079.94883624464273,0.823617404011946386,47.1898011834057272,39692.4211484323896,46.9982546056198558,121.987373350326564,0,958.611582511952065,194.296413630637801,978.119257290107953
